article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
100021074,FAREWELL TO MR. AND MRS. T. J. EDWARDS AND THE MISSES EDWARDS.,372,"Northern Argus (Clare, SA : 1869 - 1954)",5,1925-11-20,Article,505,N,0,https://nla.gov.au/nla.news-article100021074,http://trove.nla.gov.au/newspaper/page/9617152
100021742,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",4,1925-09-18,Advertising,2368,N,0,https://nla.gov.au/nla.news-article100021742,http://trove.nla.gov.au/newspaper/page/9617079
100022206,FOOTBALL. STANLEY ASSOCIATION. WATERVALE V. STANLEY FLAT.,372,"Northern Argus (Clare, SA : 1869 - 1954)",6,1925-06-12,Article,494,N,0,https://nla.gov.au/nla.news-article100022206,http://trove.nla.gov.au/newspaper/page/9616969
100022284,South Clare v. Stanley Flat,372,"Northern Argus (Clare, SA : 1869 - 1954)",7,1925-07-10,Article,750,N,0,https://nla.gov.au/nla.news-article100022284,http://trove.nla.gov.au/newspaper/page/9617002
100023153,ADELAIDE SHOW.,372,"Northern Argus (Clare, SA : 1869 - 1954)",5,1925-09-04,Article,788,N,0,https://nla.gov.au/nla.news-article100023153,http://trove.nla.gov.au/newspaper/page/9617064
10002341,LABOUR INCAPACITY.,10,"The Mercury (Hobart, Tas. : 1860 - 1954)",4,1909-12-14,Article,1182,N,0,https://nla.gov.au/nla.news-article10002341,http://trove.nla.gov.au/newspaper/page/873651
100023961,Advertising,372,"Northern Argus (Clare, SA : 1869 - 1954)",4,1925-08-21,Advertising,2185,N,0,https://nla.gov.au/nla.news-article100023961,http://trove.nla.gov.au/newspaper/page/9617047
100024090,Black and white Dances.,372,"Northern Argus (Clare, SA : 1869 - 1954)",5,1925-05-22,Article,174,N,0,https://nla.gov.au/nla.news-article100024090,http://trove.nla.gov.au/newspaper/page/9616944
100024167,No title,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1946-12-20,Article,43,Y,0,https://nla.gov.au/nla.news-article100024167,http://trove.nla.gov.au/newspaper/page/10626753
100024215,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1946-12-20,Family Notices,903,N,2,https://nla.gov.au/nla.news-article100024215,http://trove.nla.gov.au/newspaper/page/10626755
